speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end,method,phone_start_suyuan,phone_start_sijia,diff,simple_phone,phone_category
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,我,uo3,<SIL>,zh,0.6456431593225335,0.7916770833913647,Human-Human,0.6456431593225335,0.6469254541211307,0.0012822947985972055,uo,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,知道,zh,uo3,ii1,0.7916770833913647,0.8943166840304625,Human-Human,0.7916770833913647,0.8964794138905918,0.10480233049922716,zh,fricative
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,知道,ii1,zh,d,0.8943166840304625,1.014808170618396,Human-Human,0.8943166840304625,0.9112545085421218,0.01693782451165926,ii,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,知道,d,ii1,ao5,1.014808170618396,1.0633468828894113,Human-Human,1.014808170618396,1.006284489163094,0.008523681455302023,d,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,的,d,ao5,e5,1.2781790349368671,1.3422743269240358,Human-Human,1.2781790349368671,1.2782693884319083,9.035349504116219e-5,d,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,的,e5,d,uei4,1.3422743269240358,1.598860561367729,Human-Human,1.3422743269240358,1.3447310729591064,0.0024567460350706227,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,为什么,uei4,e5,sh,1.598860561367729,1.724329871087638,Human-Human,1.598860561367729,1.555166039077369,0.04369452229035997,uei,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,为什么,sh,uei4,e,1.724329871087638,1.8083120372625965,Human-Human,1.724329871087638,1.7189956841607863,0.005334186926851725,sh,fricative
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,为什么,n,e,m,1.8298118569955677,1.8354190951666536,Human-Human,1.8298118569955677,1.827775357769027,0.0020364992265407,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,为什么,m,n,e5,1.8354190951666536,1.8921532339578784,Human-Human,1.8354190951666536,1.860132907898584,0.024713812731930407,m,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,4.752918570718802,为什么,e5,m,<SIL>,1.8921532339578784,2.1184224413251207,Human-Human,1.8921532339578784,1.8939432473799271,0.001790013422048764,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,因为,i1,<SIL>,n,3.1789315344172353,3.283011759428414,Human-Human,3.1789315344172353,3.178316868911367,6.146655058683059e-4,i,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,因为,n,i1,uei4,3.283011759428414,3.291631017025771,Human-Human,3.283011759428414,3.2775638520464976,0.0054479073819164725,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,因为,uei4,n,n,3.291631017025771,3.4157942429968804,Human-Human,3.291631017025771,3.3105543705060225,0.018923353480251315,uei,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那天,n,uei4,a4,3.4157942429968804,3.490545468907712,Human-Human,3.4157942429968804,3.419809633633484,0.004015390636603389,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那天,t,a4,ia1,3.5961265473834914,3.729547262777463,Human-Human,3.5961265473834914,3.593504786797446,0.002621760586045241,t,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那天,ia1,t,n,3.729547262777463,3.847411161124189,Human-Human,3.729547262777463,3.7349780309669023,0.005430768189439217,ia,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那天,n,ia1,n,3.847411161124189,3.87409757600236,Human-Human,3.847411161124189,3.847760045060536,3.4888393634702197e-4,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那个,n,n,a4,3.87409757600236,3.9096171074738506,Human-Human,3.87409757600236,3.8786130110708457,0.004515435068485729,n,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那个,g,a4,e4,4.044082944891379,4.066768971936153,Human-Human,4.044082944891379,3.9992344634558017,0.04484848143557718,g,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,那个,e4,g,t,4.066768971936153,4.125380295229605,Human-Human,4.066768971936153,4.0420964643747315,0.024672507561421142,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,他们,t,e4,a1,4.125380295229605,4.209508220416832,Human-Human,4.125380295229605,4.162338585748676,0.03695829051907129,t,stop
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,他们,a1,t,m,4.209508220416832,4.279899159707238,Human-Human,4.209508220416832,4.210863105288083,0.0013548848712510164,a,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,他们,m,a1,e5,4.279899159707238,4.306091137117622,Human-Human,4.279899159707238,4.282657322570654,0.002758162863416125,m,nasal
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,他们,e5,m,n,4.306091137117622,4.3732080792317305,Human-Human,4.306091137117622,4.31256732134738,0.006476184229758708,e,vowel
ma_4336,f,25,Guangdong,14,Canto_ma_4336,5.936037739949313,他们,n,e5,zh,4.3732080792317305,4.403414086080698,Human-Human,4.3732080792317305,4.363355857822207,0.009852221409523132,n,nasal
