speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,清,ng,i1,sh,8.689471054431202,8.728556986612805
ma_4336,F,25,Canto,14,Canto_ma_4336,4.69246275567496,他,t,uo1,a1,55.6767887405376,55.74725496369636
ma_4336,F,25,Canto,14,Canto_ma_4336,6.240291445592509,是,ii4,sh,g,20.446955144893582,20.510665772392947
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,当然,d,a1,a1,7.6793614904184055,7.75775232396425
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,的,e5,d,b,47.41542069780016,47.43457378849132
ma_4336,F,25,Canto,14,Canto_ma_4336,7.082905895689728,的,d,n,i4,44.79984958447007,44.826334303914116
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,就,j,uo3,iu4,15.131885303432263,15.240084212557655
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,偷,ou1,t,q,7.116198463766463,7.22504796934818
ma_4336,F,25,Canto,14,Canto_ma_4336,2.1882923507605696,嗯,e4,<SIL>,n,60.08092078435038,60.39901910606218
ma_4336,F,25,Canto,14,Canto_ma_4336,7.082905895689728,还是,ii5,sh,iao4,42.798607285013226,42.86619642939954
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,说,uo1,sh,zh,46.57359567851032,46.67344085639862
ma_4336,F,25,Canto,14,Canto_ma_4336,4.8543030136365,我们,n,e5,b,27.164058684425466,27.206798593957192
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,搞,ao3,g,b,8.270646488109907,8.38980099124122
ma_4336,F,25,Canto,14,Canto_ma_4336,6.240291445592509,我,uo3,n,b,20.268785894775416,20.367629009735523
ma_4336,F,25,Canto,14,Canto_ma_4336,7.082905895689728,时间,sh,e4,ii2,41.735055397785196,41.813836234811966
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,那个,g,ei4,e4,9.894978972066095,9.920140893783142
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,打,a3,d,d,15.6336943312509,15.828831092694019
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,晚上,a4,<SIL>,ng,14.938743994625527,14.987769767706496
ma_4336,F,25,Canto,14,Canto_ma_4336,6.911375217237614,你,n,n,i3,39.60343809047653,39.639304963787836
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,那,a4,n,b,48.80517077176102,48.93955927931551
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,去,v4,q,n,9.634643752097139,9.756440358243939
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,不,u4,b,d,48.484017988797326,48.6386407539633
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,说,uo1,sh,i1,32.30856717504985,32.47367819514515
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,电话,d,a3,ia4,31.69059471143976,31.71991329061461
ma_4336,F,25,Canto,14,Canto_ma_4336,4.619987442150039,那么,n,<SIL>,a4,12.421048547072166,12.443417323251674
ma_4336,F,25,Canto,14,Canto_ma_4336,6.135591012491206,她,a1,t,l,49.19328027717054,49.35550115753301
ma_4336,F,25,Canto,14,Canto_ma_4336,5.3523265991775455,到,ao4,d,i1,36.16141080809406,36.251753256181956
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,电话,ua4,h,l,15.974031616510146,16.061407120717057
ma_4336,F,25,Canto,14,Canto_ma_4336,7.082905895689728,乡下,ia1,x,ng,43.190028781062814,43.29173289352292
ma_4336,F,25,Canto,14,Canto_ma_4336,5.3523265991775455,要,iao4,iu4,zh,34.93852927967741,35.08719709296219
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,不,u4,b,h,30.91064048252626,30.94002259973047
ma_4336,F,25,Canto,14,Canto_ma_4336,5.859734590612213,钱,q,ou1,ia2,9.030686668112708,9.143301496199156
ma_4336,F,25,Canto,14,Canto_ma_4336,5.3523265991775455,就,iu4,j,iao4,34.888550095195505,34.93852927967741
ma_4336,F,25,Canto,14,Canto_ma_4336,6.472691739133782,总,z,e4,o3,23.70733727526228,23.794472969202243
ma_4336,F,25,Canto,14,Canto_ma_4336,6.240291445592509,先,x,uo3,ia1,19.91384925469139,19.96525299113048
ma_4336,F,25,Canto,14,Canto_ma_4336,6.110768350198114,不,b,iao4,u4,30.864477702921228,30.91064048252626
ma_4336,F,25,Canto,14,Canto_ma_4336,5.275543428890118,来,l,ua4,ai2,16.061407120717057,16.10627861397937
ma_4336,F,25,Canto,14,Canto_ma_4336,4.752918570718802,的,e5,d,uei4,1.3422743269240358,1.598860561367729
