speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,回去,uei2,h,q,15.425063320298936,15.483434979516279
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,像,x,ai2,ia4,24.093685536925275,24.171020025638484
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,帮,b,u4,a1,19.162506236259187,19.235820285311956
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,吗,m,ng,a5,21.02577425796536,21.063141284817895
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,男,n,a2,d,44.68299597470558,44.79313842862344
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,回去,v4,q,d,15.525967093016352,15.60234200215199
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,找,ao3,zh,d,36.01423324751098,36.1253030970954
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,嘛,a5,m,<SIL>,37.28269478314345,37.52483101679322
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,男的,d,n,e5,57.762974565864,57.774464770513426
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,一个,g,i1,e4,41.68436688191684,41.6875350969481
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,一个,i1,ao4,g,36.25824468187603,36.36095970191317
ma_4336,F,25,Canto,14,Canto_ma_4336,6.996484126215707,先,ia1,x,n,22.64001621512507,22.71627626755478
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,跟,n,e1,n,20.591159234161413,20.63464848932751
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,不,b,iao4,u4,30.899351747915027,30.916059647869286
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,但是,d,e5,a4,42.328808299542295,42.38785496072354
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,她,a1,t,m,41.02564979361476,41.133036665172845
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,电话,n,ia4,h,15.862878001908864,15.928671380185595
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,这个,g,ei4,e4,46.12926204195772,46.13802785577186
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,佳,ia1,j,sh,46.374360766164635,46.492385835434355
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,这个,e4,g,n,44.433500282406605,44.49002165690499
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,他,t,ng,a1,17.47625604934219,17.521258724320777
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,我,uo3,n,iao4,30.684829551821377,30.74761312503067
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,说,sh,ia1,uo1,46.492385835434355,46.57545375175446
ma_4336,F,25,Canto,14,Canto_ma_4336,4.65064615411055,为什么,e2,sh,n,1.8100336196529374,1.827775357769027
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,做,z,ng,uo4,47.8539878697076,47.97110402113308
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,偷,t,ai2,ou1,5.164656401202474,5.281640371568445
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,那个,e4,g,d,9.925121903066549,9.987083857916367
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,调,iao4,d,h,29.312045578194084,29.408324556369077
ma_4336,F,25,Canto,14,Canto_ma_4336,4.65064615411055,的,d,ao4,e5,1.2782693884319085,1.3447310729591064
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,去,q,n,v4,42.044520099317296,42.175106859185
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,那个,n,ii4,ei4,9.770230916498775,9.821362970866893
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,不,b,e5,u4,48.4116836725346,48.48607894090574
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,这个,ei4,zh,g,44.37405571430608,44.417127837802646
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,一个,e4,g,z,4.758099873825602,4.828054763987152
ma_4336,F,25,Canto,14,Canto_ma_4336,5.50993336478735,那么,a4,n,m,12.442302133687527,12.49404178299057
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,这个,zh,iao4,ei4,44.28677933431061,44.37405571430608
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,时间,ii2,sh,j,41.82221112546296,41.85311443001426
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,叫,j,ai2,iao4,16.245441576009885,16.316895322948582
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,这,e4,zh,ia4,24.415303357205982,24.452193045092926
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,这个,e4,g,n,47.140490075318375,47.19641296321905
ma_4336,F,25,Canto,14,Canto_ma_4336,3.2516040084218303,对,uei4,d,<SIL>,54.32660346287278,54.616617715623484
